Sr. No.,Product Name,Collection Name,Description,Short Description,Weaving Technique,Material,Pile Thickness (MM),Colour Attributes for Filter,Colour For Product Page,Shape,Size,Price (AED),Price (USD),Price (EUR),Design ID,Item Number (SKU),Pattern,Lead Time,Weight (KG),alt Text,Image Title / Caption,Image description,tags
6,Capsule VI Hand-Knotted Wool Rug,The Capsule,"Elevate your home with the Capsule Rug, crafted from 100% hand-knotted wool. Its signature pill silhouette breaks away from traditional rectangular layouts, layering rich terracotta, moss green, and crimson with sharp geometric linework. Durable, plush, and naturally soft, it brings mid-century warmth and quiet luxury to any room.","Hand-knotted from 100% wool, the Capsule Rug blends Bauhaus art with a pill silhouette in warm terracotta, olive, and ochre for modern spaces.",Hand Knotted,Wool,8,Black | Green | Beige | Red | Brown,Amber,Irregular,160X180,7200,1960,1710,Capsule VI,HOD-HKW-CA-06,Geometric,8-12 Weeks,14.112,"Pill-shaped hand-knotted wool rug featuring concentric orange arch lines above olive, crimson, and brown color-blocked forms.",Capsule 06 Wool Rug - House of Decor,A 100% wool rug featuring concentric arch motifs and rich earth-toned geometric blocks within a rounded silhouette.,"Capsule Shape, Arch Motif, Concentric Lines, Amber, Olive Green, 100% Wool, Hand-Knotted"
,,,,,,Wool,8,,,,180X270,12150,3310,2890,,,,8-12 Weeks,23.814,,,,
7,Capsule VII Hand-Knotted Wool Rug,The Capsule,"Elevate your home with the Capsule Rug, crafted from 100% hand-knotted wool. Its signature pill silhouette breaks away from traditional rectangular layouts, layering rich terracotta, moss green, and crimson with sharp geometric linework. Durable, plush, and naturally soft, it brings mid-century warmth and quiet luxury to any room.","Hand-knotted from 100% wool, the Capsule Rug blends Bauhaus art with a pill silhouette in warm terracotta, olive, and ochre for modern spaces.",Hand Knotted,Wool,8,Black | Green | Beige | Red | Brown,Ochre,Rectangle,160X180,7200,1960,1710,Capsule VII,HOD-HKW-CA-07,Geometric,8-12 Weeks,14.112,"Top-down view of a capsule rug featuring a quadrant of vertical and horizontal stripes paired with solid crimson, ochre, and olive sections.",Capsule 07 Wool Rug - House of Decor,An artistic hand-knotted wool rug featuring multi-directional linear patterns paired with graphic color-blocked geometric shapes.,"Capsule Shape, Multi-Directional Stripes, Geometric, Ochre, Crimson, 100% Wool, Hand-Knotted"
,,,,,,Wool,8,,,,180X270,12150,3310,2890,,,,8-12 Weeks,23.814,,,,
8,Capsule VIII Hand-Knotted Wool Rug,The Capsule,"Elevate your home with the Capsule Rug, crafted from 100% hand-knotted wool. Its signature pill silhouette breaks away from traditional rectangular layouts, layering rich terracotta, moss green, and crimson with sharp geometric linework. Durable, plush, and naturally soft, it brings mid-century warmth and quiet luxury to any room.","Hand-knotted from 100% wool, the Capsule Rug blends Bauhaus art with a pill silhouette in warm terracotta, olive, and ochre for modern spaces.",Hand Knotted,Wool,8,Black | Green | Beige | Red | Brown,Olive Green,Irregular,180X200,9000,2450,2140,Capsule VIII,HOD-HKW-CA-08,Geometric,8-12 Weeks,17.640,"Modern capsule wool rug featuring a prominent horizontal woven amber grid band across olive green, terracotta, and red abstract shapes.",Capsule 08 Wool Rug - House of Decor,A high-end hand-knotted wool rug highlighting a unique textured grid band resting over rich geometric earth tones and rounded blocks.,"Capsule Shape, Textured Grid, Woven Band, Terracotta, Olive Green, 100% Wool, Hand-Knotted"
,,,,,,Wool,8,,,,270X300,20250,5520,4820,,,,8-12 Weeks,39.690,,,,
9,Chroma I Hand-Knotted Wool & Bamboo Silk Rug,The Chroma Edit,"Elevate your living space with the Chroma Rug, hand-knotted from high-density wool and silky bamboo fibers. Featuring abstract geometric art, striking petrol blue, mustard ochre, and crisp pinstripes, its subtle sheen catches the light beautifully. Durable, plush, and tactile, it adds architectural depth and quiet luxury to any room.","Hand-knotted from wool and luminous bamboo silk, the Chroma Rug blends geometric art, petrol blue tones, and subtle sheen for modern spaces.",Hand Knotted,Wool & Bamboo Silk,7,Blue | Yellow | Black | Beige,Cream,Rectangle,150X180,9720,2650,2310,Chroma I,HOD-HKWB-CH-01,Geometric,8-12 Weeks,16.200,"Top-down view of a rectangular wool and bamboo silk rug with overlapping circles, teal arches, and ochre geometric blocks.",Chroma 01 Wool & Bamboo Silk Rug - House of Decor,"A modern hand-knotted wool and bamboo silk rug featuring a complex composition of teal arches, ochre circles, and pinstripe loops.","Rectangle, Geometric, Bamboo Silk, Petrol Blue, Ochre, Hand-Knotted, Abstract Art"
,,,,,,Wool & Bamboo Silk,7,,,,200X240,17280,4710,4110,,,,8-12 Weeks,28.800,,,,
,,,,,,Wool & Bamboo Silk,7,,,,250X300,31500,8580,7500,,,,8-12 Weeks,45.000,,,,
10,Chroma II Hand-Knotted Wool & Bamboo Silk Rug,The Chroma Edit,"Elevate your living space with the Chroma Rug, hand-knotted from high-density wool and silky bamboo fibers. Featuring abstract geometric art, striking petrol blue, mustard ochre, and crisp pinstripes, its subtle sheen catches the light beautifully. Durable, plush, and tactile, it adds architectural depth and quiet luxury to any room.","Hand-knotted from wool and luminous bamboo silk, the Chroma Rug blends geometric art, petrol blue tones, and subtle sheen for modern spaces.",Hand Knotted,Wool & Bamboo Silk,7,Blue | Yellow | Black | Beige,Ochre,Rectangle,150X180,9720,2650,2310,Chroma II,HOD-HKWB-CH-02,Geometric,8-12 Weeks,16.200,"Capsule-shaped luxury rug featuring stacked ochre circles, petrol blue fields, and fine horizontal pinstripes in wool and silk.",Chroma 02 Wool & Bamboo Silk Rug - House of Decor,"An architectural hand-knotted rug combining petrol blue arches, mustard yellow circles, and pinstripe fields with a silk luster finish.","Capsule Shape, Pinstripes, Bamboo Silk, Petrol Blue, Ochre, Hand-Knotted, Mid-Century Modern"
,,,,,,Wool & Bamboo Silk,7,,,,200X240,17280,4710,4110,,,,8-12 Weeks,28.800,,,,
,,,,,,Wool & Bamboo Silk,7,,,,250X300,31500,8580,7500,,,,8-12 Weeks,45.000,,,,
11,Chroma III Hand-Knotted Wool & Bamboo Silk Rug,The Chroma Edit,"Elevate your living space with the Chroma Rug, hand-knotted from high-density wool and silky bamboo fibers. Featuring abstract geometric art, striking petrol blue, mustard ochre, and crisp pinstripes, its subtle sheen catches the light beautifully. Durable, plush, and tactile, it adds architectural depth and quiet luxury to any room.","Hand-knotted from wool and luminous bamboo silk, the Chroma Rug blends geometric art, petrol blue tones, and subtle sheen for modern spaces.",Hand Knotted,Wool & Bamboo Silk,7,Blue | Yellow | Black | Beige,Terracotta,Rectangle,150X210,11340,3090,2700,Chroma III,HOD-HKWB-CH-03,Geometric,8-12 Weeks,18.900,"Overhead view of a rectangular abstract rug featuring polka dot fields, a dotted ring around a gold circle, and teal geometric cutouts.",Chroma 03 Wool & Bamboo Silk Rug - House of Decor,"A dynamic hand-knotted wool and silk rug with a black-dotted border around a central ochre disc, set over petrol blue and striped zones.","Rectangle, Dot Pattern, Statement Rug, Bamboo Silk, Teal, Mustard Yellow, Hand-Knotted"
,,,,,,Wool & Bamboo Silk,7,,,,200X280,20160,5490,4800,,,,8-12 Weeks,33.600,,,,
,,,,,,Wool & Bamboo Silk,7,,,,250X350,31500,8580,7500,,,,8-12 Weeks,52.500,,,,
12,Chroma IV Hand-Knotted Wool & Bamboo Silk Rug,The Chroma Edit,"Elevate your living space with the Chroma Rug, hand-knotted from high-density wool and silky bamboo fibers. Featuring abstract geometric art, striking petrol blue, mustard ochre, and crisp pinstripes, its subtle sheen catches the light beautifully. Durable, plush, and tactile, it adds architectural depth and quiet luxury to any room.","Hand-knotted from wool and luminous bamboo silk, the Chroma Rug blends geometric art, petrol blue tones, and subtle sheen for modern spaces.",Hand Knotted,Wool & Bamboo Silk,7,Blue | Yellow | Black | Beige,Beige,Irregular,150X200,10800,2940,2570,Chroma IV,HOD-HKWB-CH-04,Geometric,8-12 Weeks,18.000,"Arch-shaped luxury rug featuring horizontal pinstripes, gold discs, and teal geometric blocks crafted in wool and bamboo silk.",Chroma 04 Wool & Bamboo Silk Rug - House of Decor,"A high-end hand-knotted rug with a dramatic arched silhouette, layering petrol blue panels, ochre discs, and fine pinstripe lines.","Arch Shape, Irregular, Pinstripes, Bamboo Silk, Petrol Blue, Ochre, Hand-Knotted"
,,,,,,Wool & Bamboo Silk,7,,,,180X240,15552,4240,3700,,,,8-12 Weeks,25.920,,,,
,,,,,,Wool & Bamboo Silk,7,,,,210X280,21168,5770,5040,,,,8-12 Weeks,35.280,,,,
,,,,,,Wool & Bamboo Silk,7,,,,240X320,27648,7530,6580,,,,8-12 Weeks,46.080,,,,
13,Chroma V Hand-Knotted Wool & Bamboo Silk Rug,The Chroma Edit,"Elevate your living space with the Chroma Rug, hand-knotted from high-density wool and silky bamboo fibers. Featuring abstract geometric art, striking petrol blue, mustard ochre, and crisp pinstripes, its subtle sheen catches the light beautifully. Durable, plush, and tactile, it adds architectural depth and quiet luxury to any room.","Hand-knotted from wool and luminous bamboo silk, the Chroma Rug blends geometric art, petrol blue tones, and subtle sheen for modern spaces.",Hand Knotted,Wool & Bamboo Silk,7,Blue | Yellow | Black | Beige,Mustard,Rectangle,150X200,10800,2940,25701,Chroma VI,HOD-HKWB-CH-05,,8-12 Weeks,18.000,"Pill-shaped hand-knotted wool and silk rug with a large central mustard block, a black disc, and petrol blue top and bottom borders.",Chroma 05 Wool & Bamboo Silk Rug - House of Decor,A sleek capsule-shaped rug featuring mustard yellow and petrol blue color blocks accented with pinstripe fields and bamboo silk shine.,"Capsule Shape, Color Block, Bamboo Silk, Petrol Blue, Mustard Yellow, Hand-Knotted, Soft Minimalist"
,,,,,,Wool & Bamboo Silk,7,,,,180X240,15552,4240,3702,,,,8-12 Weeks,25.920,,,,
,,,,,,Wool & Bamboo Silk,7,,,,210X280,21168,5770,5040,,,,8-12 Weeks,35.280,,,,
,,,,,,Wool & Bamboo Silk,7,,,,240X320,27648,7530,6580,,,,8-12 Weeks,46.080,,,,
14,Chroma VI Hand-Knotted Wool & Bamboo Silk Rug,The Chroma Edit,"Elevate your living space with the Chroma Rug, hand-knotted from high-density wool and silky bamboo fibers. Featuring abstract geometric art, striking petrol blue, mustard ochre, and crisp pinstripes, its subtle sheen catches the light beautifully. Durable, plush, and tactile, it adds architectural depth and quiet luxury to any room.","Hand-knotted from wool and luminous bamboo silk, the Chroma Rug blends geometric art, petrol blue tones, and subtle sheen for modern spaces.",Hand Knotted,Wool & Bamboo Silk,7,Blue | Yellow | Black | Beige,Petrol Blue,Rectangle,210X270,20412,5560,4860,Chroma VI,HOD-HKWB-CH-06,,8-12 Weeks,34.020,"Capsule wool and bamboo silk rug with horizontal and vertical stripe blocks, a black circle, and ochre geometric forms.",Chroma 06 Wool & Bamboo Silk Rug - House of Decor,"A sophisticated hand-knotted rug with multi-directional pinstripe grids, ochre forms, and petrol blue accents inside a rounded frame.","Capsule Shape, Grid Pattern, Bamboo Silk, Petrol Blue, Ochre, Hand-Knotted, Bauhaus"
,,,,,,Wool & Bamboo Silk,7,,,,240X310,26784,7300,6380,,,,8-12 Weeks,44.640,,,,
,,,,,,Wool & Bamboo Silk,7,,,,280X360,36288,9890,8640,,,,8-12 Weeks,60.480,,,,
15,Terra I Hand-Tufted Wool & Silk Rug,Terra,"Elevate your interior with the Terra Rug, hand-tufted from high-density wool and silky bamboo fibers. Featuring abstract color-blocking in terracotta, teal, rust, and beige, its textured pinstripes and plush luster capture light beautifully, bringing earthy warmth, acoustic comfort, and modern art underfoot.","Hand-tufted from wool and luminous bamboo silk, the Terra Rug blends organic earth tones, terracotta, teal, and pinstripes with a soft silk sheen.",Hand Tufted,Wool & Bamboo Silk,10,Black | Brown | Red | Beige,Rust,Rectangle,150X240,5400,1470,1285,Terra I,HOD-HTWB-TE-01,,4-6 Weeks,18.720,"Top-down view of a rectangular wool and bamboo silk rug featuring divided circles, pinstripe quadrants, terracotta, rust, and a deep teal arch.",Terra 01 Wool & Silk Rug - House of Decor,"A modern hand-tufted wool and bamboo silk rug showcasing split geometric circles, terracotta color blocks, and fine pinstripe textures.","Rectangle, Geometric, Bamboo Silk, Wool, Terracotta, Teal, Pinstripes, Hand-Tufted"
,,,,,,,10,,,,200X300,9000,2450,2140,,,,4-6 Weeks,31.200,,,,
,,,,,,,10,,,,250X350,13125,3580,3125,,,,4-6 Weeks,45.500,,,,
,,,,,,,10,,,,300X400,18000,4900,4285,,,,4-6 Weeks,62.400,,,,
16,Terra II Hand-Tufted Wool & Silk Rug,Terra,"Elevate your interior with the Terra Rug, hand-tufted from high-density wool and silky bamboo fibers. Featuring abstract color-blocking in terracotta, teal, rust, and beige, its textured pinstripes and plush luster capture light beautifully, bringing earthy warmth, acoustic comfort, and modern art underfoot.","Hand-tufted from wool and luminous bamboo silk, the Terra Rug blends organic earth tones, terracotta, teal, and pinstripes with a soft silk sheen.",Hand Tufted,Wool & Bamboo Silk,10,Blue | Yellow | Red | Beige,Cream,Rectangle,150X240,5400,1470,1285,Terra II,HOD-HTWB-TE-02,,4-6 Weeks,18.720,"Rectangular rug with a central capsule motif outlined in black, featuring rust orange, deep teal, beige, and a striped circle base.",Terra 02 Wool & Silk Rug - House of Decor,"An architectural hand-tufted wool and bamboo silk rug with a bold black-framed pill outline surrounding terracotta, teal, and linear striped sections.","Rectangle, Capsule Motif, Bamboo Silk, Wool, Rust Orange, Teal, Hand-Tufted, Statement Rug"
,,,,,,,10,,,,200X300,9000,2450,2140,,,,4-6 Weeks,31.200,,,,
,,,,,,,10,,,,250X350,13125,3580,3125,,,,4-6 Weeks,45.500,,,,
,,,,,,,10,,,,300X400,18000,4900,4285,,,,4-6 Weeks,62.400,,,,
17,Terra III Hand-Tufted Wool & Silk Rug,Terra,"Elevate your interior with the Terra Rug, hand-tufted from high-density wool and silky bamboo fibers. Featuring abstract color-blocking in terracotta, teal, rust, and beige, its textured pinstripes and plush luster capture light beautifully, bringing earthy warmth, acoustic comfort, and modern art underfoot.","Hand-tufted from wool and luminous bamboo silk, the Terra Rug blends organic earth tones, terracotta, teal, and pinstripes with a soft silk sheen.",Hand Tufted,Wool & Bamboo Silk,10,Blue | Red | Green | Beige l Brown,Terracotta,Rectangle,150X240,5400,1470,1285,Terra III,HOD-HTWB-TE-03,,4-6 Weeks,18.720,"Rectangular abstract rug featuring an oval composition of teal horizontal pinstripes, black blocks, terracotta shapes, and beige fields.",Terra 03 Wool & Silk Rug - House of Decor,"A luxury hand-tufted rug in wool and bamboo silk highlighting a central oval graphic filled with teal pinstripes, terracotta curves, and dark teal accents.","Rectangle, Pinstripes, Bamboo Silk, Wool, Teal, Terracotta, Hand-Tufted, Bauhaus"
,,,,,,,10,,,,200X300,9000,2450,2140,,,,4-6 Weeks,31.200,,,,
,,,,,,,10,,,,250X350,13125,3580,3125,,,,4-6 Weeks,45.500,,,,
,,,,,,,10,,,,300X400,18000,4900,4285,,,,4-6 Weeks,62.400,,,,
18,Terra IV Hand-Tufted Wool & Silk Rug,Terra,"Elevate your interior with the Terra Rug, hand-tufted from high-density wool and silky bamboo fibers. Featuring abstract color-blocking in terracotta, teal, rust, and beige, its textured pinstripes and plush luster capture light beautifully, bringing earthy warmth, acoustic comfort, and modern art underfoot.","Hand-tufted from wool and luminous bamboo silk, the Terra Rug blends organic earth tones, terracotta, teal, and pinstripes with a soft silk sheen.",Hand Tufted,Wool & Bamboo Silk,10,Blue | Red | Green | Beige l Brown,Beige,Rectangle,150X240,5400,1470,1285,Terra IV,HOD-HTWB-TE-04,,4-6 Weeks,18.720,"Overhead view of a rectangular rug with a central black-bordered arch framing stacked terracotta arches, horizontal stripes, and a teal accent.",Terra 04 Wool & Silk Rug - House of Decor,"A hand-tufted wool and silk rug displaying a stadium arch motif layered with rich terracotta color blocks, linear stripes, and subtle silk shine.","Rectangle, Arch Motif, Bamboo Silk, Wool, Terracotta, Teal, Hand-Tufted, Mid-Century Modern"
,,,,,,,10,,,,200X300,9000,2450,2140,,,,4-6 Weeks,31.200,,,,
,,,,,,,10,,,,250X350,13125,3580,3125,,,,4-6 Weeks,45.500,,,,
,,,,,,,10,,,,300X400,18000,4900,4285,,,,4-6 Weeks,62.400,,,,
19,Terra V Hand-Tufted Wool & Silk Rug,Terra,"Elevate your interior with the Terra Rug, hand-tufted from high-density wool and silky bamboo fibers. Featuring abstract color-blocking in terracotta, teal, rust, and beige, its textured pinstripes and plush luster capture light beautifully, bringing earthy warmth, acoustic comfort, and modern art underfoot.","Hand-tufted from wool and luminous bamboo silk, the Terra Rug blends organic earth tones, terracotta, teal, and pinstripes with a soft silk sheen.",Hand Tufted,Wool & Bamboo Silk,10,Blue | Red | Beige l Brown,Teal,Rectangle,150X240,5400,1470,1285,Terra V,HOD-HTWB-TE-05,,4-6 Weeks,18.720,"Modern rectangular rug featuring a prominent terracotta tear-shaped disc at the bottom, vertical pinstripes, and a deep teal background.",Terra 05 Wool & Silk Rug - House of Decor,"A high-end hand-tufted wool and bamboo silk rug featuring an abstract tear-drop terracotta form set against cream, teal, and pinstripe geometry.","Rectangle, Abstract Art, Bamboo Silk, Wool, Terracotta, Teal, Beige, Hand-Tufted"
,,,,,,,10,,,,200X300,9000,2450,2140,,,,4-6 Weeks,31.200,,,,
,,,,,,,10,,,,250X350,13125,3580,3125,,,,4-6 Weeks,45.500,,,,
,,,,,,,10,,,,300X400,18000,4900,4285,,,,4-6 Weeks,62.400,,,,
20,Terra VI Hand-Tufted Wool & Silk Rug,Terra,"Elevate your interior with the Terra Rug, hand-tufted from high-density wool and silky bamboo fibers. Featuring abstract color-blocking in terracotta, teal, rust, and beige, its textured pinstripes and plush luster capture light beautifully, bringing earthy warmth, acoustic comfort, and modern art underfoot.","Hand-tufted from wool and luminous bamboo silk, the Terra Rug blends organic earth tones, terracotta, teal, and pinstripes with a soft silk sheen.",Hand Tufted,Wool & Bamboo Silk,10,Blue | Red | Beige l Green,Burnt Red,Rectangle,150X240,5400,1470,1285,Terra VI,HOD-HTWB-TE-06,,4-6 Weeks,18.720,Rectangular wool and silk rug with a large terracotta and teal split circle over horizontal pinstripe and sweeping curved line textures.,Terra 06 Wool & Silk Rug - House of Decor,"A sophisticated hand-tufted rug featuring a dramatic split-color disc atop layered linear and curved pinstripe textures in rust, teal, and cream.","Rectangle, Split Circle, Linear Texture, Bamboo Silk, Wool, Rust, Teal, Hand-Tufted"
,,,,,,,10,,,,200X300,9000,2450,2140,,,,4-6 Weeks,31.200,,,,
,,,,,,,10,,,,250X350,13125,3580,3125,,,,4-6 Weeks,45.500,,,,
,,,,,,,10,,,,300X400,18000,4900,4285,,,,4-6 Weeks,62.400,,,,
